date,venue,toss_winner,winner,team1,team2,toss_match_winner,venue_avg
2021-03-07,Sky Stadium,Australia,New Zealand,Australia,New Zealand,0,0.6
2021-03-12,Narendra Modi Stadium,England,England,India,England,1,0.6
2021-03-14,Narendra Modi Stadium,India,India,England,India,1,0.6
2021-03-16,Narendra Modi Stadium,England,England,India,England,1,0.6
2021-03-18,Narendra Modi Stadium,England,India,India,England,0,0.6
2021-03-20,Narendra Modi Stadium,England,India,India,England,0,0.6
2021-04-10,"""The Wanderers Stadium",South Africa,Pakistan,South Africa,Pakistan,0,0.6
2021-04-12,"""The Wanderers Stadium",Pakistan,South Africa,Pakistan,South Africa,0,0.6
2021-04-14,"""SuperSport Park",Pakistan,Pakistan,South Africa,Pakistan,1,0.6
2021-04-16,"""SuperSport Park",Pakistan,Pakistan,South Africa,Pakistan,1,0.6
2021-04-17,"""Tribhuvan University International Cricket Ground",Nepal,Nepal,Netherlands,Nepal,1,0.6
2021-04-20,"""Tribhuvan University International Cricket Ground",Nepal,Netherlands,Nepal,Netherlands,0,0.6
2021-04-21,Harare Sports Club,Zimbabwe,Pakistan,Pakistan,Zimbabwe,0,0.6
2021-04-23,Harare Sports Club,Pakistan,Zimbabwe,Zimbabwe,Pakistan,0,0.6
2021-04-24,"""Tribhuvan University International Cricket Ground",Netherlands,Nepal,Nepal,Netherlands,0,0.6
2021-04-25,Harare Sports Club,Pakistan,Pakistan,Pakistan,Zimbabwe,1,0.6
2021-06-23,"""Sophia Gardens",Sri Lanka,England,Sri Lanka,England,0,0.6
2021-06-24,"""Sophia Gardens",Sri Lanka,England,Sri Lanka,England,0,0.6
2021-06-26,"""The Rose Bowl",Sri Lanka,England,England,Sri Lanka,0,0.6
2021-06-26,"""National Cricket Stadium",West Indies,West Indies,South Africa,West Indies,1,0.6
2021-06-27,"""National Cricket Stadium",West Indies,South Africa,South Africa,West Indies,0,0.6
2021-06-29,"""National Cricket Stadium",West Indies,South Africa,South Africa,West Indies,0,0.6
2021-07-01,"""National Cricket Stadium",South Africa,West Indies,West Indies,South Africa,0,0.6
2021-07-03,"""National Cricket Stadium",South Africa,South Africa,South Africa,West Indies,1,0.6
2021-07-09,"""Daren Sammy National Cricket Stadium",Australia,West Indies,West Indies,Australia,0,0.6
2021-07-10,"""Daren Sammy National Cricket Stadium",Australia,West Indies,West Indies,Australia,0,0.6
2021-07-12,"""Daren Sammy National Cricket Stadium",Australia,West Indies,Australia,West Indies,0,0.6
2021-07-14,"""Daren Sammy National Cricket Stadium",Australia,Australia,Australia,West Indies,1,0.6
2021-07-16,"""Trent Bridge",England,Pakistan,Pakistan,England,0,0.6
2021-07-16,"""Daren Sammy National Cricket Stadium",West Indies,West Indies,West Indies,Australia,1,0.6
2021-07-18,"""Headingley",Pakistan,England,England,Pakistan,0,0.6
2021-07-19,"""The Village",Ireland,South Africa,South Africa,Ireland,0,0.6
2021-07-20,"""Old Trafford",Pakistan,England,Pakistan,England,0,0.6
2021-07-22,"""Civil Service Cricket Club",South Africa,South Africa,South Africa,Ireland,1,0.6
2021-07-24,"""Civil Service Cricket Club",South Africa,South Africa,South Africa,Ireland,1,0.6
2021-07-25,"""R Premadasa Stadium",Sri Lanka,India,India,Sri Lanka,0,0.6
2021-07-28,"""R Premadasa Stadium",Sri Lanka,Sri Lanka,India,Sri Lanka,1,0.6
2021-07-29,"""R Premadasa Stadium",India,Sri Lanka,India,Sri Lanka,0,0.6
2021-07-31,"""Providence Stadium",West Indies,Pakistan,Pakistan,West Indies,0,0.6
2021-08-27,"""Castle Avenue",Ireland,Zimbabwe,Zimbabwe,Ireland,0,0.6
2021-08-29,"""Castle Avenue",Zimbabwe,Ireland,Zimbabwe,Ireland,0,0.6
2021-09-01,"""Bready Cricket Club",Zimbabwe,Ireland,Ireland,Zimbabwe,0,0.6
2021-09-02,"""Bready Cricket Club",Zimbabwe,Ireland,Ireland,Zimbabwe,0,0.6
2021-09-04,"""Bready Cricket Club",Zimbabwe,Zimbabwe,Zimbabwe,Ireland,1,0.6
2021-09-10,"""R Premadasa Stadium",South Africa,South Africa,South Africa,Sri Lanka,1,0.6
2021-09-12,"""R Premadasa Stadium",Sri Lanka,South Africa,Sri Lanka,South Africa,0,0.6
2021-09-14,"""R Premadasa Stadium",Sri Lanka,South Africa,Sri Lanka,South Africa,0,0.6
2021-09-15,"""Grange Cricket Club Ground",Scotland,Scotland,Scotland,Zimbabwe,1,0.6
2021-09-17,"""Grange Cricket Club Ground",Zimbabwe,Zimbabwe,Zimbabwe,Scotland,1,0.6
2021-09-19,"""Grange Cricket Club Ground",Scotland,Zimbabwe,Scotland,Zimbabwe,0,0.6
2021-10-07,"""ICC Academy",United Arab Emirates,Ireland,United Arab Emirates,Ireland,0,0.6
2021-10-08,"""ICC Academy",Ireland,United Arab Emirates,United Arab Emirates,Ireland,0,0.6
2021-10-09,"""ICC Academy",Namibia,Namibia,Scotland,Namibia,1,0.6
2021-10-10,"""ICC Academy",United Arab Emirates,United Arab Emirates,Ireland,United Arab Emirates,1,0.6
2021-10-18,"""Zayed Cricket Stadium",Sri Lanka,Sri Lanka,Namibia,Sri Lanka,1,0.6
2021-10-18,"""Zayed Cricket Stadium",Netherlands,Ireland,Netherlands,Ireland,0,0.6
2021-10-20,"""Zayed Cricket Stadium",Namibia,Namibia,Netherlands,Namibia,1,0.6
2021-10-20,"""Zayed Cricket Stadium",Ireland,Sri Lanka,Sri Lanka,Ireland,0,0.6
2021-10-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Scotland,Oman,Scotland,0,0.6
2021-10-22,Sharjah Cricket Stadium,Ireland,Namibia,Ireland,Namibia,0,0.6
2021-10-22,Sharjah Cricket Stadium,Sri Lanka,Sri Lanka,Netherlands,Sri Lanka,1,0.6
2021-10-23,"""Zayed Cricket Stadium",Australia,Australia,South Africa,Australia,1,0.6
2021-10-23,Dubai International Cricket Stadium,England,England,West Indies,England,1,0.6
2021-10-24,Dubai International Cricket Stadium,Pakistan,Pakistan,India,Pakistan,1,0.6
2021-10-26,Sharjah Cricket Stadium,Pakistan,Pakistan,New Zealand,Pakistan,1,0.6
2021-10-26,Dubai International Cricket Stadium,South Africa,South Africa,West Indies,South Africa,1,0.6
2021-10-27,"""Zayed Cricket Stadium",Namibia,Namibia,Scotland,Namibia,1,0.6
2021-10-28,Dubai International Cricket Stadium,Australia,Australia,Sri Lanka,Australia,1,0.6
2021-10-30,Sharjah Cricket Stadium,South Africa,South Africa,Sri Lanka,South Africa,1,0.6
2021-10-30,Dubai International Cricket Stadium,England,England,Australia,England,1,0.6
2021-10-31,Dubai International Cricket Stadium,New Zealand,New Zealand,India,New Zealand,1,0.6
2021-11-01,Sharjah Cricket Stadium,Sri Lanka,England,England,Sri Lanka,0,0.6
2021-11-02,"""Zayed Cricket Stadium",Pakistan,Pakistan,Pakistan,Namibia,1,0.6
2021-11-03,Dubai International Cricket Stadium,Scotland,New Zealand,New Zealand,Scotland,0,0.6
2021-11-04,"""Zayed Cricket Stadium",West Indies,Sri Lanka,Sri Lanka,West Indies,0,0.6
2021-11-05,Dubai International Cricket Stadium,India,India,Scotland,India,1,0.6
2021-11-05,Sharjah Cricket Stadium,Namibia,New Zealand,New Zealand,Namibia,0,0.6
2021-11-06,Sharjah Cricket Stadium,England,South Africa,South Africa,England,0,0.6
2021-11-06,"""Zayed Cricket Stadium",Australia,Australia,West Indies,Australia,1,0.6
2021-11-07,Sharjah Cricket Stadium,Pakistan,Pakistan,Pakistan,Scotland,1,0.6
2021-11-08,Dubai International Cricket Stadium,India,India,Namibia,India,1,0.6
2021-11-10,"""Zayed Cricket Stadium",New Zealand,New Zealand,England,New Zealand,1,0.6
2021-11-11,Dubai International Cricket Stadium,Australia,Australia,Pakistan,Australia,1,0.6
2021-11-14,Dubai International Cricket Stadium,Australia,Australia,New Zealand,Australia,1,0.6
2021-11-17,"""Sawai Mansingh Stadium",India,India,New Zealand,India,1,0.6
2021-11-19,"""JSCA International Stadium Complex",India,India,New Zealand,India,1,0.6
2021-11-21,"""Eden Gardens",India,India,India,New Zealand,1,0.6
2021-12-13,"""National Stadium",West Indies,Pakistan,Pakistan,West Indies,0,0.6
2021-12-14,"""National Stadium",Pakistan,Pakistan,Pakistan,West Indies,1,0.6
2021-12-16,"""National Stadium",West Indies,Pakistan,West Indies,Pakistan,0,0.6
2022-01-22,"""Kensington Oval",West Indies,West Indies,England,West Indies,1,0.6
2022-01-23,"""Kensington Oval",West Indies,England,England,West Indies,0,0.6
2022-01-26,"""Kensington Oval",England,West Indies,West Indies,England,0,0.6
2022-01-29,"""Kensington Oval",West Indies,England,England,West Indies,0,0.6
2022-01-30,"""Kensington Oval",West Indies,West Indies,West Indies,England,1,0.6
2022-02-11,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Nepal,Oman,Nepal,1,0.6
2022-02-11,Sydney Cricket Ground,Sri Lanka,Australia,Australia,Sri Lanka,0,0.6
2022-02-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,United Arab Emirates,United Arab Emirates,Nepal,0,0.6
2022-02-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Ireland,Oman,Ireland,1,0.6
2022-02-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,United Arab Emirates,United Arab Emirates,Ireland,0,0.6
2022-02-14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Ireland,Ireland,Nepal,0,0.6
2022-02-14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,United Arab Emirates,Oman,1,0.6
2022-02-15,"""Manuka Oval",Australia,Australia,Sri Lanka,Australia,1,0.6
2022-02-16,"""Eden Gardens",India,India,West Indies,India,1,0.6
2022-02-18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,United Arab Emirates,United Arab Emirates,Ireland,1,0.6
2022-02-18,Melbourne Cricket Ground,Australia,Australia,Sri Lanka,Australia,1,0.6
2022-02-18,"""Eden Gardens",West Indies,India,India,West Indies,0,0.6
2022-02-18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Nepal,Nepal,Oman,0,0.6
2022-02-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,Canada,Oman,1,0.6
2022-02-20,"""Eden Gardens",West Indies,India,India,West Indies,0,0.6
2022-02-20,Melbourne Cricket Ground,Australia,Sri Lanka,Australia,Sri Lanka,0,0.6
2022-02-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Nepal,Canada,Nepal,0,0.6
2022-02-22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman,Ireland,Ireland,Oman,0,0.6
2022-02-22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,United Arab Emirates,United Arab Emirates,Nepal,1,0.6
2022-02-24,"""Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Sri Lanka,India,India,Sri Lanka,0,0.6
2022-02-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman,Nepal,Oman,Nepal,0,0.6
2022-02-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,United Arab Emirates,Ireland,United Arab Emirates,0,0.6
2022-02-26,"""Himachal Pradesh Cricket Association Stadium",India,India,Sri Lanka,India,1,0.6
2022-02-27,"""Himachal Pradesh Cricket Association Stadium",Sri Lanka,India,Sri Lanka,India,0,0.6
2022-04-05,"""Gaddafi Stadium",Australia,Australia,Pakistan,Australia,1,0.6
2022-05-17,"""Queens Sports Club",Zimbabwe,Zimbabwe,Zimbabwe,Namibia,1,0.6
