date,venue,toss_winner,winner,team1,team2
2011-10-16,New Wanderers Stadium,Australia,South Africa,South Africa,Australia
2011-10-17,Harare Sports Club,Zimbabwe,New Zealand,Zimbabwe,New Zealand
2011-10-29,Eden Gardens,India,England,India,England
2011-11-25,Sheikh Zayed Stadium,Sri Lanka,Pakistan,Pakistan,Sri Lanka
2011-11-29,Shere Bangla National Stadium,Pakistan,Pakistan,Bangladesh,Pakistan
2012-02-01,Stadium Australia,India,Australia,Australia,India
2012-02-03,Melbourne Cricket Ground,Australia,India,Australia,India
2012-02-11,Eden Park,Zimbabwe,New Zealand,New Zealand,Zimbabwe
2012-02-14,Seddon Park,Zimbabwe,New Zealand,New Zealand,Zimbabwe
2012-02-17,Westpac Stadium,New Zealand,New Zealand,New Zealand,South Africa
2012-02-19,Seddon Park,South Africa,South Africa,New Zealand,South Africa
2012-02-22,Eden Park,New Zealand,South Africa,New Zealand,South Africa
2012-02-22,Mombasa Sports Club Ground,Ireland,Ireland,Kenya,Ireland
2012-02-23,Dubai International Cricket Stadium,England,Pakistan,England,Pakistan
2012-02-23,Mombasa Sports Club Ground,Kenya,Ireland,Kenya,Ireland
2012-02-24,Mombasa Sports Club Ground,Ireland,Ireland,Kenya,Ireland
2012-02-25,Dubai International Cricket Stadium,England,England,England,Pakistan
2012-02-27,Sheikh Zayed Stadium,England,England,England,Pakistan
2012-03-13,Dubai International Cricket Stadium,Netherlands,Netherlands,Canada,Netherlands
2012-03-14,Dubai International Cricket Stadium,Kenya,Ireland,Ireland,Kenya
2012-03-18,Dubai International Cricket Stadium,Ireland,Ireland,Ireland,Scotland
2012-03-22,Dubai International Cricket Stadium,Canada,Ireland,Canada,Ireland
2012-03-23,Dubai International Cricket Stadium,Ireland,Ireland,Ireland,Netherlands
2012-03-23,Dubai International Cricket Stadium,Canada,Scotland,Canada,Scotland
2012-03-27,"""Beausejour Stadium",West Indies,Australia,West Indies,Australia
2012-03-30,New Wanderers Stadium,India,South Africa,South Africa,India
2012-03-30,"""Kensington Oval",West Indies,West Indies,West Indies,Australia
2012-06-01,"""Mahinda Rajapaksa International Cricket Stadium",Sri Lanka,Sri Lanka,Sri Lanka,Pakistan
2012-06-03,"""Mahinda Rajapaksa International Cricket Stadium",Pakistan,Pakistan,Sri Lanka,Pakistan
2012-06-24,Trent Bridge,West Indies,England,England,West Indies
2012-06-30,Central Broward Regional Park Stadium Turf Ground,New Zealand,West Indies,New Zealand,West Indies
2012-07-01,Central Broward Regional Park Stadium Turf Ground,West Indies,West Indies,New Zealand,West Indies
2012-07-18,"""Civil Service Cricket Club",Ireland,Bangladesh,Ireland,Bangladesh
2012-07-25,Sportpark Westvliet,Netherlands,Bangladesh,Netherlands,Bangladesh
2012-07-26,Sportpark Westvliet,Bangladesh,Netherlands,Netherlands,Bangladesh
2012-08-07,Pallekele International Cricket Stadium,Sri Lanka,India,Sri Lanka,India
2012-09-05,Dubai International Cricket Stadium,Pakistan,Pakistan,Australia,Pakistan
2012-09-08,Riverside Ground,South Africa,South Africa,England,South Africa
2012-09-10,Dubai International Cricket Stadium,Pakistan,Australia,Australia,Pakistan
2012-09-11,"""MA Chidambaram Stadium",India,New Zealand,India,New Zealand
2012-09-12,Edgbaston,South Africa,England,England,South Africa
2012-09-18,"""Mahinda Rajapaksa International Cricket Stadium",Zimbabwe,Sri Lanka,Sri Lanka,Zimbabwe
2012-09-19,R Premadasa Stadium,Ireland,Australia,Australia,Ireland
2012-09-20,"""Mahinda Rajapaksa International Cricket Stadium",South Africa,South Africa,South Africa,Zimbabwe
2012-09-21,Pallekele International Cricket Stadium,Bangladesh,New Zealand,Bangladesh,New Zealand
2012-09-22,R Premadasa Stadium,West Indies,Australia,Australia,West Indies
2012-09-22,"""Mahinda Rajapaksa International Cricket Stadium",Sri Lanka,South Africa,Sri Lanka,South Africa
2012-09-23,Pallekele International Cricket Stadium,Pakistan,Pakistan,New Zealand,Pakistan
2012-09-23,R Premadasa Stadium,England,India,England,India
2012-09-25,Pallekele International Cricket Stadium,Bangladesh,Pakistan,Bangladesh,Pakistan
2012-09-27,Pallekele International Cricket Stadium,West Indies,West Indies,England,West Indies
2012-09-28,R Premadasa Stadium,India,Australia,Australia,India
2012-09-28,R Premadasa Stadium,South Africa,Pakistan,Pakistan,South Africa
2012-09-29,Pallekele International Cricket Stadium,New Zealand,England,England,New Zealand
2012-09-29,Pallekele International Cricket Stadium,West Indies,Sri Lanka,Sri Lanka,West Indies
2012-09-30,R Premadasa Stadium,Pakistan,India,India,Pakistan
2012-09-30,R Premadasa Stadium,Australia,Australia,Australia,South Africa
2012-10-01,Pallekele International Cricket Stadium,England,Sri Lanka,Sri Lanka,England
2012-10-02,R Premadasa Stadium,Australia,Pakistan,Australia,Pakistan
2012-10-02,R Premadasa Stadium,South Africa,India,India,South Africa
2012-10-04,R Premadasa Stadium,Sri Lanka,Sri Lanka,Sri Lanka,Pakistan
2012-10-05,R Premadasa Stadium,West Indies,West Indies,Australia,West Indies
2012-10-07,R Premadasa Stadium,West Indies,West Indies,Sri Lanka,West Indies
2012-12-10,Shere Bangla National Stadium,West Indies,West Indies,Bangladesh,West Indies
2012-12-20,Subrata Roy Sahara Stadium,India,India,India,England
2012-12-21,Kingsmead,New Zealand,South Africa,South Africa,New Zealand
2012-12-22,Wankhede Stadium,England,England,India,England
2012-12-23,Buffalo Park,New Zealand,New Zealand,South Africa,New Zealand
2012-12-25,M Chinnaswamy Stadium,Pakistan,Pakistan,India,Pakistan
2012-12-26,St George's Park,South Africa,South Africa,South Africa,New Zealand
2012-12-28,"""Sardar Patel Stadium",Pakistan,India,India,Pakistan
2013-01-26,Stadium Australia,Australia,Sri Lanka,Australia,Sri Lanka
2013-01-28,Melbourne Cricket Ground,Australia,Sri Lanka,Australia,Sri Lanka
2013-02-09,Eden Park,New Zealand,England,New Zealand,England
2013-02-12,Seddon Park,England,New Zealand,New Zealand,England
2013-02-13,"""Brisbane Cricket Ground",West Indies,West Indies,Australia,West Indies
2013-02-15,Westpac Stadium,England,England,New Zealand,England
2013-03-02,"""Sir Vivian Richards Stadium",Zimbabwe,West Indies,West Indies,Zimbabwe
2013-03-03,SuperSport Park,Pakistan,Pakistan,South Africa,Pakistan
2013-03-03,"""Sir Vivian Richards Stadium",West Indies,West Indies,West Indies,Zimbabwe
2013-03-15,ICC Global Cricket Academy,Kenya,Canada,Canada,Kenya
2013-03-16,ICC Global Cricket Academy,Kenya,Kenya,Canada,Kenya
2013-03-31,Pallekele International Cricket Stadium,Bangladesh,Sri Lanka,Sri Lanka,Bangladesh
2013-04-19,Wanderers Cricket Ground,Netherlands,Kenya,Kenya,Netherlands
2013-04-20,Wanderers Cricket Ground,Kenya,Kenya,Kenya,Netherlands
2013-05-11,Queens Sports Club,Zimbabwe,Zimbabwe,Zimbabwe,Bangladesh
2013-05-12,Queens Sports Club,Bangladesh,Bangladesh,Zimbabwe,Bangladesh
2013-06-25,Kennington Oval,England,New Zealand,England,New Zealand
2013-07-27,"""Arnos Vale Ground",West Indies,Pakistan,West Indies,Pakistan
2013-07-28,"""Arnos Vale Ground",Pakistan,Pakistan,West Indies,Pakistan
2013-08-02,R Premadasa Stadium,South Africa,South Africa,Sri Lanka,South Africa
2013-08-04,"""Mahinda Rajapaksa International Cricket Stadium",South Africa,South Africa,Sri Lanka,South Africa
2013-08-06,"""Mahinda Rajapaksa International Cricket Stadium",South Africa,Sri Lanka,Sri Lanka,South Africa
2013-08-23,Harare Sports Club,Zimbabwe,Pakistan,Zimbabwe,Pakistan
2013-08-24,Harare Sports Club,Zimbabwe,Pakistan,Zimbabwe,Pakistan
2013-08-29,The Rose Bowl,England,Australia,England,Australia
2013-08-31,Riverside Ground,Australia,England,England,Australia
2013-10-10,Saurashtra Cricket Association Stadium,India,India,India,Australia
2013-11-06,Shere Bangla National Stadium,New Zealand,New Zealand,Bangladesh,New Zealand
2013-11-13,Dubai International Cricket Stadium,Pakistan,South Africa,Pakistan,South Africa
2013-11-15,Dubai International Cricket Stadium,South Africa,South Africa,Pakistan,South Africa
2013-11-16,Sheikh Zayed Stadium,Canada,Ireland,Canada,Ireland
2013-11-19,ICC Academy,Kenya,Kenya,Kenya,Scotland
2013-11-20,New Wanderers Stadium,Pakistan,South Africa,South Africa,Pakistan
2013-11-21,Pallekele International Cricket Stadium,Sri Lanka,Sri Lanka,Sri Lanka,New Zealand
2013-11-22,Newlands,Pakistan,Pakistan,South Africa,Pakistan
2013-11-22,ICC Academy,Netherlands,Scotland,Netherlands,Scotland
2013-11-23,ICC Academy,Netherlands,Netherlands,Kenya,Netherlands
2013-11-26,Sharjah Cricket Stadium,Kenya,Kenya,Canada,Kenya
2013-11-28,Sheikh Zayed Stadium,Scotland,Netherlands,Netherlands,Scotland
2013-12-11,Dubai International Cricket Stadium,Pakistan,Pakistan,Pakistan,Sri Lanka
2013-12-13,Dubai International Cricket Stadium,Pakistan,Sri Lanka,Pakistan,Sri Lanka
2014-01-11,Eden Park,New Zealand,New Zealand,New Zealand,West Indies
2014-01-15,Westpac Stadium,West Indies,New Zealand,New Zealand,West Indies
2014-01-29,Bellerive Oval,Australia,Australia,Australia,England
2014-01-31,Melbourne Cricket Ground,England,Australia,Australia,England
2014-02-02,Stadium Australia,Australia,Australia,Australia,England
2014-02-12,Zahur Ahmed Chowdhury Stadium,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka
2014-02-14,Zahur Ahmed Chowdhury Stadium,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka
2014-02-19,"""Sabina Park",West Indies,Ireland,West Indies,Ireland
2014-02-21,"""Sabina Park",Ireland,West Indies,West Indies,Ireland
2014-03-09,"""Kensington Oval",West Indies,West Indies,West Indies,England
2014-03-11,"""Kensington Oval",England,West Indies,West Indies,England
2014-03-12,Kingsmead,Australia,Australia,South Africa,Australia
2014-03-13,"""Kensington Oval",England,England,West Indies,England
2014-03-14,SuperSport Park,Australia,Australia,South Africa,Australia
2014-03-16,Zahur Ahmed Chowdhury Stadium,Hong Kong,Nepal,Hong Kong,Nepal
2014-03-17,Sylhet Stadium,Ireland,Ireland,Ireland,Zimbabwe
2014-03-17,Sylhet Stadium,United Arab Emirates,Netherlands,Netherlands,United Arab Emirates
2014-03-18,Zahur Ahmed Chowdhury Stadium,Bangladesh,Bangladesh,Bangladesh,Nepal
2014-03-19,Sylhet Stadium,Netherlands,Zimbabwe,Netherlands,Zimbabwe
2014-03-19,Sylhet Stadium,Ireland,Ireland,Ireland,United Arab Emirates
2014-03-20,Zahur Ahmed Chowdhury Stadium,Hong Kong,Hong Kong,Bangladesh,Hong Kong
2014-03-21,Sylhet Stadium,Netherlands,Netherlands,Ireland,Netherlands
2014-03-21,Shere Bangla National Stadium,India,India,India,Pakistan
2014-03-21,Sylhet Stadium,Zimbabwe,Zimbabwe,United Arab Emirates,Zimbabwe
2014-03-22,Zahur Ahmed Chowdhury Stadium,Sri Lanka,Sri Lanka,South Africa,Sri Lanka
2014-03-22,Zahur Ahmed Chowdhury Stadium,New Zealand,New Zealand,England,New Zealand
2014-03-23,Shere Bangla National Stadium,Australia,Pakistan,Australia,Pakistan
2014-03-23,Shere Bangla National Stadium,India,India,India,West Indies
2014-03-24,Zahur Ahmed Chowdhury Stadium,New Zealand,South Africa,New Zealand,South Africa
2014-03-24,Zahur Ahmed Chowdhury Stadium,Sri Lanka,Sri Lanka,Netherlands,Sri Lanka
2014-03-25,Shere Bangla National Stadium,Bangladesh,West Indies,Bangladesh,West Indies
2014-03-27,Zahur Ahmed Chowdhury Stadium,Netherlands,South Africa,Netherlands,South Africa
2014-03-27,Zahur Ahmed Chowdhury Stadium,England,England,England,Sri Lanka
2014-03-28,Shere Bangla National Stadium,Australia,West Indies,Australia,West Indies
2014-03-28,Shere Bangla National Stadium,India,India,Bangladesh,India
2014-03-29,Zahur Ahmed Chowdhury Stadium,England,South Africa,England,South Africa
2014-03-29,Zahur Ahmed Chowdhury Stadium,New Zealand,New Zealand,Netherlands,New Zealand
2014-03-30,Shere Bangla National Stadium,Australia,India,Australia,India
2014-03-30,Shere Bangla National Stadium,Pakistan,Pakistan,Bangladesh,Pakistan
2014-03-31,Zahur Ahmed Chowdhury Stadium,New Zealand,Sri Lanka,New Zealand,Sri Lanka
2014-03-31,Zahur Ahmed Chowdhury Stadium,England,Netherlands,England,Netherlands
2014-04-01,Shere Bangla National Stadium,West Indies,West Indies,Pakistan,West Indies
2014-04-01,Shere Bangla National Stadium,Bangladesh,Australia,Bangladesh,Australia
2014-04-03,Shere Bangla National Stadium,Sri Lanka,Sri Lanka,Sri Lanka,West Indies
2014-04-04,Shere Bangla National Stadium,South Africa,India,India,South Africa
2014-04-06,Shere Bangla National Stadium,Sri Lanka,Sri Lanka,India,Sri Lanka
2014-05-20,Kennington Oval,England,Sri Lanka,England,Sri Lanka
2014-07-05,"""Windsor Park",New Zealand,New Zealand,West Indies,New Zealand
2014-07-06,"""Windsor Park",New Zealand,West Indies,West Indies,New Zealand
2014-09-07,Edgbaston,England,England,England,India
2014-10-05,Dubai International Cricket Stadium,Pakistan,Australia,Australia,Pakistan
2014-11-05,Adelaide Oval,Australia,South Africa,Australia,South Africa
2014-11-07,Melbourne Cricket Ground,South Africa,Australia,Australia,South Africa
2014-11-09,Stadium Australia,Australia,Australia,Australia,South Africa
2014-11-24,P Sara Oval,Hong Kong,Hong Kong,Hong Kong,Nepal
2014-12-04,Dubai International Cricket Stadium,Pakistan,Pakistan,New Zealand,Pakistan
2014-12-05,Dubai International Cricket Stadium,Pakistan,New Zealand,New Zealand,Pakistan
2015-01-09,Newlands,South Africa,West Indies,South Africa,West Indies
2015-01-11,New Wanderers Stadium,West Indies,West Indies,South Africa,West Indies
2015-01-14,Kingsmead,West Indies,South Africa,South Africa,West Indies
2015-04-24,Shere Bangla National Stadium,Pakistan,Bangladesh,Bangladesh,Pakistan
2015-05-22,Gaddafi Stadium,Zimbabwe,Pakistan,Pakistan,Zimbabwe
2015-05-24,Gaddafi Stadium,Zimbabwe,Pakistan,Pakistan,Zimbabwe
2015-06-20,"""Bready Cricket Club",Scotland,Scotland,Ireland,Scotland
2015-06-23,Old Trafford,England,England,England,New Zealand
2015-07-01,VRA Ground,Nepal,Netherlands,Netherlands,Nepal
2015-07-02,Hazelaarweg,Netherlands,Netherlands,Netherlands,Nepal
2015-07-05,Shere Bangla National Stadium,South Africa,South Africa,Bangladesh,South Africa
2015-07-07,Shere Bangla National Stadium,South Africa,South Africa,Bangladesh,South Africa
2015-07-09,"""Grange Cricket Club Ground",Scotland,Scotland,Scotland,United Arab Emirates
2015-07-11,"""Grange Cricket Club Ground",Netherlands,Netherlands,Scotland,Netherlands
