date,venue,toss_winner,winner,team1,team2
2024-11-24,University of Lagos Cricket Oval,Eswatini,Eswatini,Eswatini,St Helena
2024-11-25,"""West End Park International Cricket Stadium",Thailand,Thailand,Thailand,Bhutan
2024-11-25,University of Doha for Science and Technology,Saudi Arabia,Saudi Arabia,Cambodia,Saudi Arabia
2024-11-25,"""West End Park International Cricket Stadium",Bahrain,Qatar,Qatar,Bahrain
2024-11-26,"""West End Park International Cricket Stadium",United Arab Emirates,United Arab Emirates,United Arab Emirates,Qatar
2024-11-26,University of Doha for Science and Technology,Cambodia,Bahrain,Bahrain,Cambodia
2024-11-26,"""West End Park International Cricket Stadium",Saudi Arabia,Saudi Arabia,Thailand,Saudi Arabia
2024-11-26,"""Nigeria Cricket Federation Oval 2",Botswana,Botswana,Ivory Coast,Botswana
2024-11-26,"""Nigeria Cricket Federation Oval 1",Eswatini,Nigeria,Eswatini,Nigeria
2024-11-26,"""Nigeria Cricket Federation Oval 1",Sierra Leone,Sierra Leone,St Helena,Sierra Leone
2024-11-27,"""Nigeria Cricket Federation Oval 1",St Helena,Botswana,St Helena,Botswana
2024-11-27,"""Nigeria Cricket Federation Oval 2",Sierra Leone,Nigeria,Nigeria,Sierra Leone
2024-11-27,"""Nigeria Cricket Federation Oval 2",Ivory Coast,Eswatini,Ivory Coast,Eswatini
2024-11-28,University of Doha for Science and Technology,Qatar,Qatar,Saudi Arabia,Qatar
2024-11-28,"""Nigeria Cricket Federation Oval 2",Nigeria,Nigeria,Nigeria,Botswana
2024-11-28,"""Nigeria Cricket Federation Oval 2",Sierra Leone,Sierra Leone,Sierra Leone,Eswatini
2024-11-28,University of Doha for Science and Technology,Bahrain,United Arab Emirates,Bahrain,United Arab Emirates
2024-11-28,"""West End Park International Cricket Stadium",Cambodia,Cambodia,Bhutan,Cambodia
2024-11-28,"""Nigeria Cricket Federation Oval 1",Ivory Coast,St Helena,Ivory Coast,St Helena
2024-12-01,"""Queens Sports Club",Pakistan,Pakistan,Pakistan,Zimbabwe
2024-12-02,"""Hurlingham Club Ground",Argentina,Bermuda,Bermuda,Argentina
2024-12-03,"""Queens Sports Club",Zimbabwe,Pakistan,Zimbabwe,Pakistan
2024-12-04,"""Gahanga International Cricket Stadium",Botswana,Uganda,Uganda,Botswana
2024-12-04,"""Gahanga International Cricket Stadium",Rwanda,Nigeria,Rwanda,Nigeria
2024-12-05,"""Gahanga International Cricket Stadium",Botswana,Nigeria,Nigeria,Botswana
2024-12-05,"""Queens Sports Club",Pakistan,Zimbabwe,Pakistan,Zimbabwe
2024-12-05,"""Gahanga International Cricket Stadium",Rwanda,Uganda,Uganda,Rwanda
2024-12-06,"""Gahanga International Cricket Stadium",Rwanda,Rwanda,Botswana,Rwanda
2024-12-06,"""St Albans Club",Panama,Panama,Panama,Suriname
2024-12-06,"""St George's College Ground",Bahamas,Bahamas,Bahamas,Brazil
2024-12-06,"""Gahanga International Cricket Stadium",Nigeria,Uganda,Nigeria,Uganda
2024-12-07,"""St George's College Ground",Cayman Islands,Cayman Islands,Cayman Islands,Panama
2024-12-07,"""Gahanga International Cricket Stadium",Nigeria,Botswana,Nigeria,Botswana
2024-12-07,"""Gahanga International Cricket Stadium",Rwanda,Uganda,Uganda,Rwanda
2024-12-07,"""Hurlingham Club Ground",Mexico,Mexico,Mexico,Brazil
2024-12-07,"""St George's College Ground",Belize,Argentina,Argentina,Belize
2024-12-07,"""Hurlingham Club Ground",Bermuda,Bermuda,Bermuda,Suriname
2024-12-08,"""Gahanga International Cricket Stadium",Uganda,Uganda,Nigeria,Uganda
2024-12-08,"""Hurlingham Club Ground",Cayman Islands,Cayman Islands,Cayman Islands,Belize
2024-12-08,"""Gahanga International Cricket Stadium",Rwanda,Botswana,Rwanda,Botswana
2024-12-08,"""St Albans Club",Panama,Bermuda,Panama,Bermuda
2024-12-08,"""Hurlingham Club Ground",Bahamas,Bahamas,Bahamas,Argentina
2024-12-08,"""St Albans Club",Suriname,Brazil,Suriname,Brazil
2024-12-09,"""Gahanga International Cricket Stadium",Nigeria,Rwanda,Nigeria,Rwanda
2024-12-09,"""Gahanga International Cricket Stadium",Botswana,Uganda,Uganda,Botswana
2024-12-10,"""Hurlingham Club Ground",Suriname,Suriname,Cayman Islands,Suriname
2024-12-10,"""Kingsmead",South Africa,South Africa,South Africa,Pakistan
2024-12-10,"""St Albans Club",Belize,Bahamas,Bahamas,Belize
2024-12-10,"""St Albans Club",Panama,Argentina,Panama,Argentina
2024-12-10,"""Hurlingham Club Ground",Mexico,Bermuda,Mexico,Bermuda
2024-12-11,"""Hurlingham Club Ground",Suriname,Argentina,Suriname,Argentina
2024-12-11,"""St George's College Ground",Brazil,Bermuda,Bermuda,Brazil
2024-12-11,"""Hurlingham Club Ground",Bahamas,Bahamas,Bahamas,Panama
2024-12-11,"""St George's College Ground",Mexico,Cayman Islands,Mexico,Cayman Islands
2024-12-11,"""Gahanga International Cricket Stadium",Nigeria,Uganda,Uganda,Nigeria
2024-12-11,"""Gahanga International Cricket Stadium",Botswana,Rwanda,Rwanda,Botswana
2024-12-12,"""Belgrano Athletic Club Ground",Bahamas,Cayman Islands,Bahamas,Cayman Islands
2024-12-12,"""St George's College Ground",Belize,Bermuda,Bermuda,Belize
2024-12-12,"""Gahanga International Cricket Stadium",Rwanda,Uganda,Uganda,Rwanda
2024-12-12,"""Belgrano Athletic Club Ground",Panama,Brazil,Panama,Brazil
2024-12-12,"""St George's College Ground",Mexico,Mexico,Suriname,Mexico
2024-12-12,"""Gahanga International Cricket Stadium",Botswana,Nigeria,Botswana,Nigeria
2024-12-13,"""Gahanga International Cricket Stadium",Nigeria,Nigeria,Nigeria,Rwanda
2024-12-13,"""SuperSport Park",Pakistan,South Africa,Pakistan,South Africa
2024-12-13,"""ICC Academy",Bahrain,United Arab Emirates,Bahrain,United Arab Emirates
2024-12-13,"""Gahanga International Cricket Stadium",Uganda,Uganda,Uganda,Botswana
2024-12-13,"""ICC Academy",Kuwait,Kuwait,Saudi Arabia,Kuwait
2024-12-14,"""St Albans Club",Panama,Belize,Panama,Belize
2024-12-14,"""ICC Academy",Kuwait,Bahrain,Bahrain,Kuwait
2024-12-14,"""ICC Academy",Qatar,Oman,Oman,Qatar
2024-12-14,"""St Albans Club",Cayman Islands,Cayman Islands,Cayman Islands,Brazil
2024-12-14,"""Gahanga International Cricket Stadium",Nigeria,Uganda,Nigeria,Uganda
2024-12-14,"""Belgrano Athletic Club Ground",Mexico,Argentina,Argentina,Mexico
2024-12-14,"""Belgrano Athletic Club Ground",Bahamas,Bahamas,Bahamas,Suriname
2024-12-15,"""Belgrano Athletic Club Ground",Brazil,Belize,Brazil,Belize
2024-12-15,"""Arnos Vale Ground",West Indies,Bangladesh,Bangladesh,West Indies
2024-12-15,"""Hurlingham Club Ground",Mexico,Panama,Panama,Mexico
2024-12-15,"""ICC Academy",Oman,United Arab Emirates,United Arab Emirates,Oman
2024-12-15,"""Hurlingham Club Ground",Argentina,Cayman Islands,Cayman Islands,Argentina
2024-12-15,"""Belgrano Athletic Club Ground",Bermuda,Bermuda,Bermuda,Bahamas
2024-12-15,"""ICC Academy",Saudi Arabia,Saudi Arabia,Qatar,Saudi Arabia
2024-12-16,"""ICC Academy",United Arab Emirates,United Arab Emirates,United Arab Emirates,Kuwait
2024-12-16,"""St Albans Club",Belize,Suriname,Belize,Suriname
2024-12-16,"""St George's College Ground",Brazil,Argentina,Argentina,Brazil
2024-12-16,"""ICC Academy",Bahrain,Bahrain,Saudi Arabia,Bahrain
2024-12-16,"""St Albans Club",Bermuda,Bermuda,Bermuda,Cayman Islands
2024-12-16,"""St George's College Ground",Bahamas,Bahamas,Bahamas,Mexico
2024-12-17,"""Arnos Vale Ground",West Indies,Bangladesh,Bangladesh,West Indies
2024-12-17,"""ICC Academy",Kuwait,Kuwait,Qatar,Kuwait
2024-12-17,"""ICC Academy",Bahrain,Oman,Oman,Bahrain
2024-12-18,"""ICC Academy",United Arab Emirates,United Arab Emirates,United Arab Emirates,Qatar
2024-12-18,"""ICC Academy",Saudi Arabia,Saudi Arabia,Oman,Saudi Arabia
2024-12-19,"""ICC Academy",United Arab Emirates,Saudi Arabia,Saudi Arabia,United Arab Emirates
2024-12-19,"""Arnos Vale Ground",Bangladesh,Bangladesh,Bangladesh,West Indies
2024-12-20,"""ICC Academy",Oman,Kuwait,Oman,Kuwait
2024-12-20,"""ICC Academy",Qatar,Qatar,Bahrain,Qatar
2024-12-21,Dubai International Cricket Stadium,United Arab Emirates,United Arab Emirates,United Arab Emirates,Kuwait
2024-12-28,"""Bay Oval",Sri Lanka,New Zealand,New Zealand,Sri Lanka
2024-12-30,"""Bay Oval",Sri Lanka,New Zealand,New Zealand,Sri Lanka
2025-01-02,"""Saxton Oval",New Zealand,Sri Lanka,Sri Lanka,New Zealand
2025-01-22,"""Eden Gardens",India,India,England,India
2025-01-25,"""MA Chidambaram Stadium",India,India,England,India
2025-01-28,"""Saurashtra Cricket Association Stadium",India,England,England,India
2025-01-31,"""Maharashtra Cricket Association Stadium",England,India,India,England
2025-02-02,"""Wankhede Stadium",England,India,India,England
2025-02-03,Marsa Sports Club,Austria,Austria,Malta,Austria
2025-02-03,Marsa Sports Club,Malta,Hungary,Hungary,Malta
2025-02-04,Marsa Sports Club,Hungary,Austria,Hungary,Austria
2025-02-04,Marsa Sports Club,Malta,Hungary,Malta,Hungary
2025-02-05,Marsa Sports Club,Austria,Austria,Malta,Austria
2025-02-05,Marsa Sports Club,Hungary,Hungary,Austria,Hungary
2025-02-19,Udayana Cricket Ground,Indonesia,Bahrain,Bahrain,Indonesia
2025-02-20,Udayana Cricket Ground,Bahrain,Bahrain,Indonesia,Bahrain
2025-02-20,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United States of America,United States of America,Oman,United States of America
2025-02-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United States of America,United States of America,Oman,United States of America
2025-02-22,Udayana Cricket Ground,Indonesia,Indonesia,Bahrain,Indonesia
2025-02-23,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,United States of America,Oman,United States of America
2025-02-23,Harare Sports Club,Zimbabwe,Zimbabwe,Ireland,Zimbabwe
2025-02-23,Udayana Cricket Ground,Indonesia,Bahrain,Bahrain,Indonesia
2025-02-24,Udayana Cricket Ground,Indonesia,Bahrain,Indonesia,Bahrain
2025-02-28,Singapore National Cricket Ground,Singapore,Bahrain,Bahrain,Singapore
2025-03-01,Singapore National Cricket Ground,Singapore,Bahrain,Singapore,Bahrain
2025-03-02,Singapore National Cricket Ground,Singapore,Bahrain,Singapore,Bahrain
2025-03-10,"""Bayuemas Oval",Bahrain,Bahrain,Malaysia,Bahrain
2025-03-11,"""Bayuemas Oval",Hong Kong,Bahrain,Hong Kong,Bahrain
2025-03-12,"""Bayuemas Oval",Hong Kong,Hong Kong,Hong Kong,Malaysia
2025-03-13,"""Bayuemas Oval",Malaysia,Bahrain,Bahrain,Malaysia
2025-03-15,"""Bayuemas Oval",Malaysia,Hong Kong,Malaysia,Hong Kong
2025-03-16,"""Hagley Oval",New Zealand,New Zealand,Pakistan,New Zealand
2025-03-17,"""Bayuemas Oval",Hong Kong,Bahrain,Hong Kong,Bahrain
2025-03-18,"""University Oval",New Zealand,New Zealand,Pakistan,New Zealand
2025-03-19,"""Namibia Cricket Ground",Namibia,Namibia,Canada,Namibia
2025-03-21,"""Eden Park",Pakistan,Pakistan,New Zealand,Pakistan
2025-03-22,"""Namibia Cricket Ground",Canada,Namibia,Canada,Namibia
2025-03-23,"""Namibia Cricket Ground",Namibia,Namibia,Canada,Namibia
2025-03-23,"""Bay Oval",Pakistan,New Zealand,New Zealand,Pakistan
2025-03-26,"""Sky Stadium",New Zealand,New Zealand,Pakistan,New Zealand
2025-04-07,Santarem Cricket Ground,Portugal,Norway,Norway,Portugal
2025-04-08,Santarem Cricket Ground,Norway,Portugal,Norway,Portugal
2025-04-09,Santarem Cricket Ground,Portugal,Portugal,Portugal,Norway
2025-04-09,"""Mission Road Ground",Nepal,Nepal,Qatar,Nepal
2025-04-09,"""Mission Road Ground",Kuwait,Kuwait,Hong Kong,Kuwait
2025-04-10,"""Mission Road Ground",Nepal,Nepal,Kuwait,Nepal
2025-04-10,"""Mission Road Ground",Qatar,Hong Kong,Hong Kong,Qatar
2025-04-12,"""Mission Road Ground",Kuwait,Kuwait,Qatar,Kuwait
2025-04-13,"""Mission Road Ground",Qatar,Hong Kong,Hong Kong,Qatar
2025-04-13,"""Mission Road Ground",Nepal,Kuwait,Kuwait,Nepal
2025-04-17,"""Clayton Panama",Costa Rica,Mexico,Mexico,Costa Rica
2025-04-17,"""Clayton Panama",Panama,Panama,Panama,Turks and Caicos Island
2025-04-18,"""Clayton Panama",Costa Rica,Panama,Costa Rica,Panama
2025-04-18,"""Clayton Panama",Turks and Caicos Island,Mexico,Turks and Caicos Island,Mexico
2025-04-19,"""Jimmy Powell Oval",Bermuda,Canada,Bermuda,Canada
2025-04-19,"""Clayton Panama",Costa Rica,Turks and Caicos Island,Costa Rica,Turks and Caicos Island
2025-04-19,"""Jimmy Powell Oval",United States of America,United States of America,United States of America,Cayman Islands
2025-04-19,"""Clayton Panama",Panama,Panama,Panama,Mexico
2025-04-20,"""Clayton Panama",Turks and Caicos Island,Costa Rica,Turks and Caicos Island,Costa Rica
2025-04-20,"""Jimmy Powell Oval",Bermuda,Bermuda,Bermuda,Cayman Islands
2025-04-20,"""Jimmy Powell Oval",United States of America,United States of America,United States of America,Bahamas
2025-04-21,"""Jimmy Powell Oval",Bermuda,United States of America,Bermuda,United States of America
2025-04-21,"""Jimmy Powell Oval",Bahamas,Canada,Bahamas,Canada
2025-04-23,"""Jimmy Powell Oval",Bahamas,Bermuda,Bahamas,Bermuda
2025-04-23,"""Jimmy Powell Oval",Cayman Islands,Canada,Canada,Cayman Islands
2025-04-24,"""Bayuemas Oval",Malaysia,Malaysia,Malaysia,Singapore
2025-04-24,"""Bayuemas Oval",Saudi Arabia,Saudi Arabia,Saudi Arabia,Thailand
2025-04-24,"""Jimmy Powell Oval",Canada,Canada,Canada,United States of America
2025-04-24,"""Jimmy Powell Oval",Cayman Islands,Cayman Islands,Cayman Islands,Bahamas
2025-04-25,"""Bayuemas Oval",Saudi Arabia,Saudi Arabia,Saudi Arabia,Singapore
2025-04-25,"""Bayuemas Oval",Malaysia,Malaysia,Thailand,Malaysia
2025-04-26,"""Bayuemas Oval",Saudi Arabia,Malaysia,Saudi Arabia,Malaysia
2025-04-26,"""Jimmy Powell Oval",Bermuda,United States of America,Bermuda,United States of America
2025-04-26,"""Jimmy Powell Oval",Cayman Islands,Canada,Cayman Islands,Canada
2025-04-26,"""Bayuemas Oval",Singapore,Singapore,Singapore,Thailand
2025-04-27,"""Jimmy Powell Oval",Canada,United States of America,Canada,United States of America
2025-04-28,"""Bayuemas Oval",Thailand,Saudi Arabia,Saudi Arabia,Thailand
2025-04-29,"""Bayuemas Oval",Singapore,Saudi Arabia,Singapore,Saudi Arabia
2025-04-29,"""Bayuemas Oval",Thailand,Malaysia,Malaysia,Thailand
2025-04-30,"""Bayuemas Oval",Saudi Arabia,Saudi Arabia,Malaysia,Saudi Arabia
2025-05-02,"""Bayuemas Oval",Singapore,Singapore,Singapore,Thailand
2025-05-02,"""Bayuemas Oval",Malaysia,Malaysia,Malaysia,Saudi Arabia
2025-05-06,Marsa Sports Club,Estonia,Malta,Malta,Estonia
2025-05-06,Marsa Sports Club,Estonia,Estonia,Malta,Estonia
2025-05-07,Sano International Cricket Ground,Thailand,Cook Islands,Thailand,Cook Islands
2025-05-07,Marsa Sports Club,Estonia,Malta,Malta,Estonia
2025-05-08,Sano International Cricket Ground,Japan,Japan,Japan,Thailand
2025-05-09,Sano International Cricket Ground,Thailand,Thailand,Cook Islands,Thailand
2025-05-09,Sano International Cricket Ground,Cook Islands,Japan,Japan,Cook Islands
2025-05-11,Sano International Cricket Ground,Japan,Thailand,Japan,Thailand
2025-05-13,Sano International Cricket Ground,Cook Islands,Japan,Cook Islands,Japan
2025-05-14,Sano International Cricket Ground,Cook Islands,Japan,Japan,Cook Islands
2025-05-17,Sharjah Cricket Stadium,United Arab Emirates,Bangladesh,Bangladesh,United Arab Emirates
2025-05-17,"""Velden Cricket Ground",Slovenia,Austria,Austria,Slovenia
2025-05-18,"""Ballpark Ground",Slovenia,Austria,Slovenia,Austria
2025-05-18,"""Ballpark Ground",Austria,Austria,Austria,Slovenia
2025-05-19,Sharjah Cricket Stadium,United Arab Emirates,United Arab Emirates,Bangladesh,United Arab Emirates
2025-05-21,Sharjah Cricket Stadium,United Arab Emirates,United Arab Emirates,Bangladesh,United Arab Emirates
2025-05-28,"""Gaddafi Stadium",Pakistan,Pakistan,Pakistan,Bangladesh
2025-05-30,"""Gaddafi Stadium",Pakistan,Pakistan,Pakistan,Bangladesh
2025-05-30,"""Stars Arena Hofstade",Portugal,Portugal,Malta,Portugal
2025-05-30,"""Stars Arena Hofstade",Malta,Belgium,Malta,Belgium
2025-05-30,"""Velden Cricket Ground",Austria,Austria,Austria,Switzerland
2025-05-30,"""Stars Arena Hofstade",Belgium,Portugal,Belgium,Portugal
2025-05-31,"""Velden Cricket Ground",Switzerland,Austria,Austria,Switzerland
2025-05-31,"""Stars Arena Hofstade",Belgium,Portugal,Belgium,Portugal
2025-05-31,"""Stars Arena Hofstade",Malta,Portugal,Malta,Portugal
2025-05-31,"""Stars Arena Hofstade",Malta,Belgium,Belgium,Malta
2025-05-31,"""Velden Cricket Ground",Austria,Switzerland,Austria,Switzerland
2025-06-01,"""Stars Arena Hofstade",Portugal,Belgium,Belgium,Portugal
2025-06-01,"""Gaddafi Stadium",Pakistan,Pakistan,Bangladesh,Pakistan
2025-06-01,"""Velden Cricket Ground",Austria,Austria,Austria,Switzerland
2025-06-06,"""Grainville",Guernsey,Guernsey,Jersey,Guernsey
2025-06-06,"""Riverside Ground",England,England,England,West Indies
2025-06-07,"""Grainville",Jersey,Jersey,Guernsey,Jersey
2025-06-07,Lisicji Jarak Cricket Ground,Slovenia,Serbia,Slovenia,Serbia
2025-06-07,"""Grainville",Jersey,Jersey,Jersey,Guernsey
2025-06-08,"""County Ground",England,England,West Indies,England
2025-06-08,Lisicji Jarak Cricket Ground,Slovenia,Serbia,Serbia,Slovenia
2025-06-08,"""Scott Page Field",Austria,Austria,Czech Republic,Austria
2025-06-08,"""Scott Page Field",Norway,Norway,Norway,Czech Republic
2025-06-09,"""Scott Page Field",Norway,Norway,Norway,Austria
2025-06-09,"""Scott Page Field",Austria,Austria,Austria,Czech Republic
2025-06-10,"""The Rose Bowl",West Indies,England,England,West Indies
2025-06-10,"""Scott Page Field",Czech Republic,Norway,Norway,Czech Republic
2025-06-10,"""Scott Page Field",Norway,Austria,Norway,Austria
2025-06-11,Udayana Cricket Ground,Cambodia,Cambodia,Indonesia,Cambodia
2025-06-12,"""Maple Leaf North-East Ground",Canada,Canada,Canada,Bahamas
2025-06-12,Udayana Cricket Ground,Indonesia,Cambodia,Indonesia,Cambodia
2025-06-12,"""Maple Leaf North-East Ground",Bermuda,Bermuda,Bermuda,Cayman Islands
2025-06-12,Udayana Cricket Ground,Cambodia,Cambodia,Indonesia,Cambodia
2025-06-13,"""Maple Leaf North-East Ground",Bermuda,Bermuda,Bermuda,Bahamas
2025-06-13,"""Maple Leaf North-East Ground",Canada,Canada,Canada,Cayman Islands
2025-06-13,"""Ishoj Cricket Club",Finland,Denmark,Denmark,Finland
2025-06-14,Udayana Cricket Ground,Indonesia,Indonesia,Cambodia,Indonesia
2025-06-14,"""Ishoj Cricket Club",Finland,Finland,Finland,Norway
2025-06-14,"""Ishoj Cricket Club",Finland,Sweden,Sweden,Finland
2025-06-14,Koge Cricket Club,Denmark,Norway,Denmark,Norway
2025-06-14,Koge Cricket Club,Denmark,Denmark,Denmark,Sweden
2025-06-15,Udayana Cricket Ground,Cambodia,Cambodia,Indonesia,Cambodia
2025-06-15,"""Titwood",Netherlands,Scotland,Scotland,Netherlands
2025-06-15,"""Maple Leaf North-West Ground",Bermuda,Canada,Canada,Bermuda
2025-06-15,"""Maple Leaf North-West Ground",Bahamas,Cayman Islands,Cayman Islands,Bahamas
2025-06-15,"""Bready Cricket Club",Ireland,West Indies,West Indies,Ireland
2025-06-15,"""Ishoj Cricket Club",Finland,Finland,Finland,Norway
2025-06-15,"""Ishoj Cricket Club",Sweden,Norway,Sweden,Norway
2025-06-15,Udayana Cricket Ground,Indonesia,Cambodia,Indonesia,Cambodia
2025-06-16,"""Maple Leaf North-West Ground",Bahamas,Bermuda,Bahamas,Bermuda
2025-06-16,Udayana Cricket Ground,Indonesia,Indonesia,Cambodia,Indonesia
2025-06-16,"""Maple Leaf North-West Ground",Cayman Islands,Canada,Canada,Cayman Islands
2025-06-17,"""Titwood",Nepal,Nepal,Scotland,Nepal
2025-06-18,"""Maple Leaf North-West Ground",Canada,Canada,Bahamas,Canada
2025-06-18,"""Titwood",Scotland,Netherlands,Netherlands,Scotland
2025-06-18,"""Maple Leaf North-West Ground",Bermuda,Bermuda,Cayman Islands,Bermuda
2025-06-19,"""Titwood",Nepal,Nepal,Netherlands,Nepal
2025-06-19,"""Maple Leaf North-West Ground",Cayman Islands,Canada,Canada,Cayman Islands
2025-06-19,"""Maple Leaf North-West Ground",Bahamas,Bermuda,Bermuda,Bahamas
2025-06-20,"""Titwood",Scotland,Scotland,Scotland,Nepal
2025-06-21,"""GB Oval",Hungary,Hungary,Hungary,Slovenia
2025-06-21,"""GB Oval",Hungary,Hungary,Hungary,Slovenia
2025-06-21,Pierre Werner Cricket Ground,Luxembourg,Switzerland,Switzerland,Luxembourg
2025-06-21,Pierre Werner Cricket Ground,Switzerland,Switzerland,Switzerland,Luxembourg
2025-06-21,"""Maple Leaf North-West Ground",Cayman Islands,Cayman Islands,Bermuda,Cayman Islands
2025-06-21,"""Maple Leaf North-West Ground",Canada,Canada,Bahamas,Canada
2025-06-22,"""Maple Leaf North-West Ground",Bahamas,Cayman Islands,Cayman Islands,Bahamas
2025-06-22,Pierre Werner Cricket Ground,Switzerland,Luxembourg,Switzerland,Luxembourg
2025-06-22,"""GB Oval",Slovenia,Hungary,Slovenia,Hungary
2025-06-26,"""Moara Vlasiei Cricket Ground",France,Malta,France,Malta
2025-06-26,"""Moara Vlasiei Cricket Ground",Malta,Belgium,Belgium,Malta
2025-06-27,"""Moara Vlasiei Cricket Ground",Belgium,Belgium,Belgium,France
2025-06-27,"""Moara Vlasiei Cricket Ground",Romania,Romania,Hungary,Romania
2025-06-27,"""Moara Vlasiei Cricket Ground",Austria,Austria,Hungary,Austria
2025-06-28,"""Moara Vlasiei Cricket Ground",Austria,Austria,Belgium,Austria
2025-06-28,"""Moara Vlasiei Cricket Ground",Romania,Malta,Malta,Romania
2025-06-29,"""Moara Vlasiei Cricket Ground",France,Hungary,Hungary,France
2025-07-05,"""Sportpark Westvliet",Netherlands,Netherlands,Jersey,Netherlands
2025-07-05,"""Sportpark Westvliet",Italy,Italy,Guernsey,Italy
2025-07-05,"""TCA Oval",Germany,Germany,Malawi,Germany
2025-07-06,Udayana Cricket Ground,Indonesia,Philippines,Philippines,Indonesia
2025-07-06,"""TCA Oval",Bahrain,Bahrain,Bahrain,Germany
2025-07-07,Udayana Cricket Ground,Philippines,Philippines,South Korea,Philippines
2025-07-07,Udayana Cricket Ground,Philippines,Indonesia,Indonesia,Philippines
2025-07-07,"""TCA Oval",Tanzania,Germany,Tanzania,Germany
2025-07-07,"""TCA Oval",Malawi,Bahrain,Malawi,Bahrain
2025-07-08,"""Sportpark Westvliet",Scotland,Scotland,Scotland,Netherlands
2025-07-08,"""Sportpark Westvliet",Guernsey,Jersey,Jersey,Guernsey
2025-07-08,Udayana Cricket Ground,South Korea,Indonesia,Indonesia,South Korea
2025-07-08,"""TCA Oval",Tanzania,Tanzania,Bahrain,Tanzania
2025-07-09,"""Sportpark Westvliet",Netherlands,Netherlands,Netherlands,Guernsey
2025-07-09,"""Sportpark Westvliet",Italy,Italy,Italy,Scotland
2025-07-09,Udayana Cricket Ground,Philippines,South Korea,South Korea,Philippines
2025-07-09,Udayana Cricket Ground,South Korea,Indonesia,South Korea,Indonesia
2025-07-10,Udayana Cricket Ground,Indonesia,Philippines,Indonesia,Philippines
2025-07-10,"""TCA Oval",Malawi,Malawi,Malawi,Germany
2025-07-10,Udayana Cricket Ground,Philippines,Philippines,Philippines,South Korea
2025-07-10,"""Vassil Levski National Sports Academy",Bulgaria,Bulgaria,Turkey,Bulgaria
2025-07-10,Pallekele International Cricket Stadium,Sri Lanka,Sri Lanka,Bangladesh,Sri Lanka
2025-07-10,"""TCA Oval",Bahrain,Bahrain,Tanzania,Bahrain
2025-07-10,"""Vassil Levski National Sports Academy",Gibraltar,Gibraltar,Bulgaria,Gibraltar
2025-07-11,"""Vassil Levski National Sports Academy",Bulgaria,Bulgaria,Gibraltar,Bulgaria
2025-07-11,"""Vassil Levski National Sports Academy",Gibraltar,Gibraltar,Turkey,Gibraltar
2025-07-11,"""Sportpark Westvliet",Italy,Netherlands,Italy,Netherlands
2025-07-11,"""Sportpark Westvliet",Jersey,Jersey,Scotland,Jersey
2025-07-12,Udayana Cricket Ground,South Korea,South Korea,Indonesia,South Korea
2025-07-12,Udayana Cricket Ground,Philippines,Philippines,Philippines,South Korea
2025-07-12,"""Vassil Levski National Sports Academy",Bulgaria,Turkey,Turkey,Bulgaria
2025-07-12,"""Vassil Levski National Sports Academy",Turkey,Gibraltar,Turkey,Gibraltar
2025-07-12,"""TCA Oval",Tanzania,Tanzania,Germany,Tanzania
2025-07-12,"""TCA Oval",Malawi,Bahrain,Malawi,Bahrain
2025-07-13,"""TCA Oval",Germany,Germany,Germany,Malawi
2025-07-13,"""TCA Oval",Tanzania,Tanzania,Bahrain,Tanzania
2025-07-13,Udayana Cricket Ground,South Korea,Indonesia,South Korea,Indonesia
2025-07-13,Rangiri Dambulla International Stadium,Sri Lanka,Bangladesh,Bangladesh,Sri Lanka
2025-07-13,Udayana Cricket Ground,Philippines,Philippines,Indonesia,Philippines
2025-07-13,"""Vassil Levski National Sports Academy",Bulgaria,Bulgaria,Gibraltar,Bulgaria
2025-07-14,Harare Sports Club,South Africa,South Africa,Zimbabwe,South Africa
2025-07-16,Harare Sports Club,South Africa,New Zealand,New Zealand,South Africa
2025-07-16,"""R Premadasa Stadium",Sri Lanka,Bangladesh,Sri Lanka,Bangladesh
2025-07-17,Entebbe Cricket Oval,Kenya,Kenya,Kenya,Nigeria
2025-07-18,Entebbe Cricket Oval,Uganda,Uganda,Uganda,Nigeria
2025-07-18,Harare Sports Club,New Zealand,New Zealand,Zimbabwe,New Zealand
2025-07-18,Singapore National Cricket Ground,Singapore,Singapore,Singapore,Samoa
2025-07-18,Singapore National Cricket Ground,Malaysia,Malaysia,Hong Kong,Malaysia
2025-07-18,"""Gahanga International Cricket Stadium",Bahrain,Bahrain,Rwanda,Bahrain
2025-07-19,"""Gahanga International Cricket Stadium",Bahrain,Bahrain,Malawi,Bahrain
2025-07-19,"""West End Park International Cricket Stadium",Qatar,Saudi Arabia,Qatar,Saudi Arabia
2025-07-19,Entebbe Cricket Oval,Uganda,Uganda,Uganda,United Arab Emirates
2025-07-19,Singapore National Cricket Ground,Hong Kong,Hong Kong,Hong Kong,Samoa
2025-07-19,Singapore National Cricket Ground,Malaysia,Malaysia,Singapore,Malaysia
2025-07-19,"""Gahanga International Cricket Stadium",Malawi,Rwanda,Malawi,Rwanda
2025-07-20,"""Gahanga International Cricket Stadium",Bahrain,Bahrain,Malawi,Bahrain
2025-07-20,Singapore National Cricket Ground,Samoa,Malaysia,Samoa,Malaysia
