date,event,venue,toss_winner,toss_decision,winner,team1,team2
2022/10/21,ICC Men's T20 World Cup,"""Bellerive Oval",Scotland,bat,Zimbabwe,Scotland,Zimbabwe
2022/10/22,ICC Men's T20 World Cup,Sydney Cricket Ground,Australia,field,New Zealand,New Zealand,Australia
2022/10/23,ICC Men's T20 World Cup,"""Bellerive Oval",Ireland,bat,Sri Lanka,Ireland,Sri Lanka
2022/10/23,ICC Men's T20 World Cup,Melbourne Cricket Ground,India,field,India,Pakistan,India
2022/10/24,ICC Men's T20 World Cup,"""Bellerive Oval",Netherlands,field,Bangladesh,Bangladesh,Netherlands
2022/10/24,ICC Men's T20 World Cup,"""Bellerive Oval",Zimbabwe,bat,,Zimbabwe,South Africa
2022/10/25,ICC Men's T20 World Cup,Perth Stadium,Australia,field,Australia,Sri Lanka,Australia
2022/10/26,ICC Men's T20 World Cup,Melbourne Cricket Ground,England,field,Ireland,Ireland,England
2022/10/27,ICC Men's T20 World Cup,Sydney Cricket Ground,South Africa,bat,South Africa,South Africa,Bangladesh
2022/10/27,ICC Men's T20 World Cup,Sydney Cricket Ground,India,bat,India,India,Netherlands
2022/10/27,ICC Men's T20 World Cup,Perth Stadium,Zimbabwe,bat,Zimbabwe,Zimbabwe,Pakistan
2022/10/29,ICC Men's T20 World Cup,Sydney Cricket Ground,New Zealand,bat,New Zealand,New Zealand,Sri Lanka
2022/10/30,ICC Men's T20 World Cup,"""Brisbane Cricket Ground",Bangladesh,bat,Bangladesh,Bangladesh,Zimbabwe
2022/10/30,ICC Men's T20 World Cup,Perth Stadium,Netherlands,bat,Pakistan,Netherlands,Pakistan
2022/10/30,ICC Men's T20 World Cup,Perth Stadium,India,bat,South Africa,India,South Africa
2022/10/31,ICC Men's T20 World Cup,"""Brisbane Cricket Ground",Ireland,field,Australia,Australia,Ireland
2022/11/01,ICC Men's T20 World Cup,"""Brisbane Cricket Ground",England,bat,England,England,New Zealand
2022/11/02,ICC Men's T20 World Cup,Adelaide Oval,Zimbabwe,bat,Netherlands,Zimbabwe,Netherlands
2022/11/02,ICC Men's T20 World Cup,Adelaide Oval,Bangladesh,field,India,India,Bangladesh
2022/11/03,ICC Men's T20 World Cup,Sydney Cricket Ground,Pakistan,bat,Pakistan,Pakistan,South Africa
2022/11/04,ICC Men's T20 World Cup,Adelaide Oval,Ireland,field,New Zealand,New Zealand,Ireland
2022/11/05,ICC Men's T20 World Cup,Sydney Cricket Ground,Sri Lanka,bat,England,Sri Lanka,England
2022/11/06,ICC Men's T20 World Cup,Adelaide Oval,South Africa,field,Netherlands,Netherlands,South Africa
2022/11/06,ICC Men's T20 World Cup,Adelaide Oval,Bangladesh,bat,Pakistan,Bangladesh,Pakistan
2022/11/06,ICC Men's T20 World Cup,Melbourne Cricket Ground,India,bat,India,India,Zimbabwe
2022/11/09,ICC Men's T20 World Cup,Sydney Cricket Ground,New Zealand,bat,Pakistan,New Zealand,Pakistan
2022/11/10,ICC Men's T20 World Cup,Adelaide Oval,England,field,England,India,England
2022/11/13,ICC Men's T20 World Cup,Melbourne Cricket Ground,England,field,England,Pakistan,England
2024/06/01,ICC Men's T20 World Cup,"""Grand Prairie Stadium",United States of America,field,United States of America,Canada,United States of America
2024/06/02,ICC Men's T20 World Cup,"""Providence Stadium",West Indies,field,West Indies,Papua New Guinea,West Indies
2024/06/02,ICC Men's T20 World Cup,"""Kensington Oval",Namibia,field,,Oman,Namibia
2024/06/03,ICC Men's T20 World Cup,"""Nassau County International Cricket Stadium",Sri Lanka,bat,South Africa,Sri Lanka,South Africa
2024/06/04,ICC Men's T20 World Cup,"""Kensington Oval",Scotland,bat,,Scotland,England
2024/06/04,ICC Men's T20 World Cup,"""Grand Prairie Stadium",Netherlands,field,Netherlands,Nepal,Netherlands
2024/06/05,ICC Men's T20 World Cup,"""Nassau County International Cricket Stadium",India,field,India,Ireland,India
2024/06/05,ICC Men's T20 World Cup,"""Providence Stadium",Uganda,field,Uganda,Papua New Guinea,Uganda
2024/06/05,ICC Men's T20 World Cup,"""Kensington Oval",Oman,field,Australia,Australia,Oman
2024/06/06,ICC Men's T20 World Cup,"""Grand Prairie Stadium",United States of America,field,,Pakistan,United States of America
2024/06/06,ICC Men's T20 World Cup,"""Kensington Oval",Namibia,bat,Scotland,Namibia,Scotland
2024/06/07,ICC Men's T20 World Cup,"""Nassau County International Cricket Stadium",Ireland,field,Canada,Canada,Ireland
2024/06/07,ICC Men's T20 World Cup,"""Grand Prairie Stadium",Bangladesh,field,Bangladesh,Sri Lanka,Bangladesh
2024/06/08,ICC Men's T20 World Cup,"""Nassau County International Cricket Stadium",South Africa,field,South Africa,Netherlands,South Africa
2024/06/08,ICC Men's T20 World Cup,"""Kensington Oval",England,field,Australia,Australia,England
2024/06/08,ICC Men's T20 World Cup,"""Providence Stadium",West Indies,bat,West Indies,West Indies,Uganda
2024/06/09,ICC Men's T20 World Cup,"""Nassau County International Cricket Stadium",Pakistan,field,India,India,Pakistan
2024/06/09,ICC Men's T20 World Cup,"""Sir Vivian Richards Stadium",Oman,bat,Scotland,Oman,Scotland
2024/06/10,ICC Men's T20 World Cup,"""Nassau County International Cricket Stadium",South Africa,bat,South Africa,South Africa,Bangladesh
2024/06/11,ICC Men's T20 World Cup,"""Nassau County International Cricket Stadium",Pakistan,field,Pakistan,Canada,Pakistan
2024/06/11,ICC Men's T20 World Cup,"""Sir Vivian Richards Stadium",Australia,field,Australia,Namibia,Australia
2024/06/12,ICC Men's T20 World Cup,"""Nassau County International Cricket Stadium",India,field,India,United States of America,India
2024/06/12,ICC Men's T20 World Cup,"""Brian Lara Stadium",New Zealand,field,West Indies,West Indies,New Zealand
2024/06/13,ICC Men's T20 World Cup,"""Arnos Vale Ground",Netherlands,field,Bangladesh,Bangladesh,Netherlands
2024/06/13,ICC Men's T20 World Cup,"""Sir Vivian Richards Stadium",England,field,England,Oman,England
2024/06/14,ICC Men's T20 World Cup,"""Arnos Vale Ground",Nepal,field,South Africa,South Africa,Nepal
2024/06/14,ICC Men's T20 World Cup,"""Brian Lara Stadium",New Zealand,field,New Zealand,Uganda,New Zealand
2024/06/15,ICC Men's T20 World Cup,"""Sir Vivian Richards Stadium",Namibia,field,England,England,Namibia
2024/06/15,ICC Men's T20 World Cup,"""Daren Sammy National Cricket Stadium",Australia,field,Australia,Scotland,Australia
2024/06/16,ICC Men's T20 World Cup,"""Central Broward Regional Park Stadium Turf Ground",Pakistan,field,Pakistan,Ireland,Pakistan
2024/06/16,ICC Men's T20 World Cup,"""Arnos Vale Ground",Nepal,field,Bangladesh,Bangladesh,Nepal
2024/06/16,ICC Men's T20 World Cup,"""Daren Sammy National Cricket Stadium",Netherlands,field,Sri Lanka,Sri Lanka,Netherlands
2024/06/17,ICC Men's T20 World Cup,"""Brian Lara Stadium",New Zealand,field,New Zealand,Papua New Guinea,New Zealand
2024/06/19,ICC Men's T20 World Cup,"""Sir Vivian Richards Stadium",United States of America,field,South Africa,South Africa,United States of America
2024/06/19,ICC Men's T20 World Cup,"""Daren Sammy National Cricket Stadium",England,field,England,West Indies,England
2024/06/20,ICC Men's T20 World Cup,"""Sir Vivian Richards Stadium",Australia,field,Australia,Bangladesh,Australia
2024/06/21,ICC Men's T20 World Cup,"""Daren Sammy National Cricket Stadium",England,field,South Africa,South Africa,England
2024/06/21,ICC Men's T20 World Cup,"""Kensington Oval",West Indies,field,West Indies,United States of America,West Indies
2024/06/22,ICC Men's T20 World Cup,"""Sir Vivian Richards Stadium",Bangladesh,field,India,India,Bangladesh
2024/06/23,ICC Men's T20 World Cup,"""Kensington Oval",England,field,England,United States of America,England
2024/06/23,ICC Men's T20 World Cup,"""Sir Vivian Richards Stadium",South Africa,field,South Africa,West Indies,South Africa
2024/06/24,ICC Men's T20 World Cup,"""Daren Sammy National Cricket Stadium",Australia,field,India,India,Australia
2024/06/27,ICC Men's T20 World Cup,"""Providence Stadium",England,field,India,India,England
2024/06/29,ICC Men's T20 World Cup,"""Kensington Oval",India,bat,India,India,South Africa
2014/03/16,World T20,Zahur Ahmed Chowdhury Stadium,Hong Kong,field,Nepal,Hong Kong,Nepal
2014/03/17,World T20,Sylhet Stadium,Ireland,field,Ireland,Ireland,Zimbabwe
